Id_Anuncio_ShopCar,Modelo,Cor,Combustivel,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados
1155998,206 Presence 1.4 4p.,Preta,Flex,,,https://www.shopcar.com.br/veiculos/peugeot/206-presence-1-4-4p/08-08/1155998,Procurocar Carros e Neg�cios,"Av. Salgado Filho, 987 - Amamba� - Campo Grande / MS",2008.0,2008.0, MS,"Av. Salgado Filho, 987 ", Amamba� , Campo Grande ,peugeot,17/06/2022
1190699,A3 1.6 2p.,Vermelha,Gasolina,,,https://www.shopcar.com.br/veiculos/audi/a3-1-6-2p/00-00/1190699,Prado,Campo Grande - MS,2000.0,2000.0,,Campo Grande , MS,,audi,17/06/2022
1182415,Marea ELX 2.0 20v,Verde,Gasolina,,,https://www.shopcar.com.br/veiculos/fiat/marea-elx-2-0-20v/98-99/1182415,Ustulin Multimarcas,"Av. Pres. Ernesto Geisel, 5633 - Cabre�va - Campo Grande / MS",1998.0,1999.0, MS,"Av. Pres. Ernesto Geisel, 5633 ", Cabre�va , Campo Grande ,fiat,17/06/2022
1187027,Gol GL 1.8i 2p.,Prata,Gasolina,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-gl-1-8i-2p/90-90/1187027,Jheimes Fernandes dos Santos,Maracaju - MS,1990.0,1990.0,,Maracaju , MS,,vw-volkswagen,17/06/2022
1151012,Corsa Sedan Classic Spirit 1.0,Prata,Flex,,,https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-spirit-1-0/08-09/1151012,Carlos Diego Dantas Batista,Nova Andradina - MS,2008.0,2009.0,,Nova Andradina , MS,,gm-chevrolet,17/06/2022
1186325,Gol Trend 1.0 4p.,Vermelha,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-trend-1-0-4p/06-07/1186325,Federal Car,"Av. Bandeirantes, 2236 - Nova Bandeirantes - Campo Grande / MS",2006.0,2007.0, MS,"Av. Bandeirantes, 2236 ", Nova Bandeirantes , Campo Grande ,vw-volkswagen,17/06/2022
1192408,Xsara Picasso Exclusive 2.0 16v A/T,Prata,Gasolina,,,https://www.shopcar.com.br/veiculos/citro-n/xsara-picasso-exclusive-2-0-16v/08-08/1192408,Henrique dos Anjos Mariano Abreu ,Campo Grande - MS,2008.0,2008.0,,Campo Grande , MS,,citro-n,17/06/2022
1182924,207 Passion XS 1.6 16v A/T,Preta,Flex,,,https://www.shopcar.com.br/veiculos/peugeot/207-passion-xs-1-6-16v/09-10/1182924,Premium Motors,"Rua Jo�o Pedro de Souza,73 - Jardim Monte L�bano - Campo Grande / MS",2009.0,2010.0, MS,"Rua Jo�o Pedro de Souza,73 ", Jardim Monte L�bano , Campo Grande ,peugeot,17/06/2022
1187089,Clio Hatch Campus 1.0 16v 4p.,Preta,Flex,,,https://www.shopcar.com.br/veiculos/renault/clio-hatch-campus-1-0-16v-4p/11-12/1187089,Premium Motors,"Rua Jo�o Pedro de Souza,73 - Jardim Monte L�bano - Campo Grande / MS",2011.0,2012.0, MS,"Rua Jo�o Pedro de Souza,73 ", Jardim Monte L�bano , Campo Grande ,renault,17/06/2022
1188575,Palio Celebration 1.0 4p.,Preta,Flex,,,https://www.shopcar.com.br/veiculos/fiat/palio-celebration-1-0-4p/08-08/1188575,Eduardo Bortolato,Campo Grande - MS,2008.0,2008.0,,Campo Grande , MS,,fiat,17/06/2022
