,best_match_score,Modelo,Cor,Combustivel,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados,Unnamed: 0,nome_marca,id_marca,nome_modelo,id_modelo
3340,0.3186986500169784,Fusion SEL 2.3 16v A/T,Preta,Gasolina,,,https://www.shopcar.com.br/veiculos/ford/fusion-sel-2-3-16v/07-07/1191544,Fagner Faustino Barbosa,Nova Andradina - MS,2007.0,2007.0,,Nova Andradina , MS,,ford,17/06/2022,1795,Ford,22,Fusion SEL 2.3 16V  162cv Aut.,4061
3369,0.2627346567526281,Uno Vivace 1.0 4p.,Prata,Flex,,,https://www.shopcar.com.br/veiculos/fiat/uno-vivace-1-0-4p/13-13/1188570,Lolo Veículos,"Rodovia MS 156, 2595 - Chácara Sidelis - Dourados / MS",2013.0,2013.0, MS,"Rodovia MS 156, 2595 ", Chácara Sidelis , Dourados ,fiat,17/06/2022,1524,Fiat,21,UNO VIVACE 1.0 EVO Fire Flex 8V 3p,5483
3518,0.1349114446260704,Palio Attractive 1.0 4p.,Prata,Flex,,,https://www.shopcar.com.br/veiculos/fiat/palio-attractive-1-0-4p/12-13/1192534,Paulo do Amaral,Campo Grande - MS,2012.0,2013.0,,Campo Grande , MS,,fiat,17/06/2022,1227,Fiat,21,Palio City 1.0 4p,511
3533,0.4906518459243754,Fusion SEL 2.3 16v,Preta,Gasolina,,,https://www.shopcar.com.br/veiculos/ford/fusion-sel-2-3-16v/06-06/1188342,Federal Car,"Av. Bandeirantes, 2236 - Nova Bandeirantes - Campo Grande / MS",2006.0,2006.0, MS,"Av. Bandeirantes, 2236 ", Nova Bandeirantes , Campo Grande ,ford,17/06/2022,1795,Ford,22,Fusion SEL 2.3 16V  162cv Aut.,4061
3534,0.41216722241702386,Gol Trend 1.0 4p.,Branca,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-trend-1-0-4p/12-13/1182177,João Daral Veículos,"R. Dom Pedro I, 405 - Vila Industrial - Dourados / MS",2012.0,2013.0, MS,"R. Dom Pedro I, 405 ", Vila Industrial , Dourados ,vw-volkswagen,17/06/2022,5684,VW - VolksWagen,59,Gol 1.0 Trend/ Power 8V 4p,2388
3536,0.14859238619805393,Astra Hatch GLS 2.0 4p.,Vermelha,Gasolina,,,https://www.shopcar.com.br/veiculos/gm-chevrolet/astra-hatch-gls-2-0-4p/95-95/1184419,Oldary Janio,Campo Grande - MS,1995.0,1995.0,,Campo Grande , MS,,gm-chevrolet,17/06/2022,2059,GM - Chevrolet,23,Astra Sedan 2.0/CD/ GLS/ Adv. 2.0 16V 4p,960
3541,0.08249328318172687,Fiesta Hatch 1.6 4p.,Branca,Flex,,,https://www.shopcar.com.br/veiculos/ford/fiesta-hatch-1-6-4p/12-13/1191728,João Vitor Tavares ,Nova Andradina - MS,2012.0,2013.0,,Nova Andradina , MS,,ford,17/06/2022,1736,Ford,22,Fiesta Sed. 1.6 8V Flex 4p,785
3545,0.08249328318172687,Fiesta Hatch 1.6 4p.,Branca,Flex,,,https://www.shopcar.com.br/veiculos/ford/fiesta-hatch-1-6-4p/13-13/1187201,Mariana Rodrigues Alves,Campo Grande - MS,2013.0,2013.0,,Campo Grande , MS,,ford,17/06/2022,1736,Ford,22,Fiesta Sed. 1.6 8V Flex 4p,785
3549,0.10387215848469741,Polo Sedan 1.6,Prata,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/polo-sedan-1-6/10-11/1191527,Willian Silva de Freitas,Campo Grande - MS,2010.0,2011.0,,Campo Grande , MS,,vw-volkswagen,17/06/2022,5958,VW - VolksWagen,59,Polo Sedan 1.6 Mi Total Flex 8V 4p,2535
3553,0.2842084121460802,Uno Way 1.0 4p.,Cinza,Flex,,,https://www.shopcar.com.br/veiculos/fiat/uno-way-1-0-4p/11-12/1190740,Automóbile Multimarcas,"Av. Ricardo Brandão, 646 - Itanhangá Park - Campo Grande / MS",2011.0,2012.0, MS,"Av. Ricardo Brandão, 646 ", Itanhangá Park , Campo Grande ,fiat,17/06/2022,1511,Fiat,21,Uno Mille WAY ECONOMY 1.0 F.Flex 4p,4766
3555,0.5504227103427185,EcoSport XLT Freestyle 1.6,Prata,Flex,,,https://www.shopcar.com.br/veiculos/ford/ecosport-xlt-freestyle-1-6/08-08/1185114,Seicar Veículos,"Av. Bandeirantes, 2878 - Nova Bandeirantes - Campo Grande / MS",2008.0,2008.0, MS,"Av. Bandeirantes, 2878 ", Nova Bandeirantes , Campo Grande ,ford,17/06/2022,1605,Ford,22,EcoSport XLT FREESTYLE 1.6 Flex 8V 5p,4258
3556,0.3467817896201231,Astra Hatch Advantage 2.0 4p.,Prata,Flex,,,https://www.shopcar.com.br/veiculos/gm-chevrolet/astra-hatch-advantage-2-0-4p/10-11/1182296,Pelegrinelli Veículos,"Av. Rachid Neder, 696 - Monte Castelo - Campo Grande / MS",2010.0,2011.0, MS,"Av. Rachid Neder, 696 ", Monte Castelo , Campo Grande ,gm-chevrolet,17/06/2022,2032,GM - Chevrolet,23,Astra Advantage 2.0 MPFI 8V FlexPower 5p,3968
